Task id: 1
getting organized at work               [I need to get organized at work]

  *   Checklist for getting organized at work
  *   How to organize office desk
  *   Tips for getting organized at work
  *   Organize schedule at office
  *   How to create a todo/task list
  *   How to keep a calendar of scheduled meetings and travel
  *   How to set deadlines and goals
  *   How to organize your work space
  *   How to log the time you spend
  *   Methods to track your progress towards goals
  *   How to set up a filing system with a binder or folders

Task id: 2
choose bathroom                 [I'm remodeling my bathroom and I need to make a lot of choices]

  *   Find bathroom designs/ideas
  *   Find bathroom decorations or bathroom decoration ideas
  *   Find bathroom furniture
  *   Choose a color scheme and style
  *   Choose floor plan
  *   Choose sink
  *   Choose cabinets
  *   Choose tiles
  *   Choose mirrors
  *   Choose flooring
  *   Choose other fixtures (toilet, tub, shower)
  *   Choose lighting
  *   Choose shower curtain

Task id: 3
low wedding budget             [I am planning a low budget wedding]

  *   Low budget wedding venues
  *   Tips for wedding planning on a low budget
  *   How to organize your own wedding
  *   How to have a low budget wedding/low budget wedding ideas
  *   Low budget bridal shower ideas
  *   Delegate tasks to family
  *   Buy a used wedding gown
  *   Cheap wedding cake
  *   Make your own invitations
  *   Find low cost catering or cater it yourself
  *   Buy budget wedding bands
  *   Hold the ceremony at an inexpensive location

Task id: 4
lower heart rate                     [I want to lower my heart rate in the short and long term]

  *   Lower heart rate naturally
  *   Lower heart rate advantages
  *   Methods to lower heart rate
  *   Medicine to lower heart rate
  *   Lower heart rate during exercise
  *   Resting heart rate
  *   Lower heart rate quickly

Task id: 5
website design hosting   [I need to create and host a new web site]

  *   Website design hosting services
  *   Website design hosting packages
  *   Free website design hosting
  *   Website design hosting tutorial
  *   Choose a domain name
  *   Choose a hosting service
  *   Design the overall structure of the web site
  *   Get software for website design and authoring
  *   Create the content

Task id: 6
elliptical trainer         [I want to use an elliptical trainer to get fit]

  *   Elliptical trainer benefits
  *   Elliptical trainer sale
  *   Best elliptical trainers
  *   Elliptical trainer reviews
  *   Why to use elliptical trainers?
  *   Elliptical trainer versus other methods (treadmill/exercise bike/running/walking)
  *   Types of elliptical trainers

Task id: 7
disneyland paris                   [I'm planning my visit to Disneyland Paris]

  *   Information about Disneyland Paris
  *   Disneyland Paris entrance fee
  *   Book a hotel
  *   Choose the right tickets and buy them
  *   Book flights/trains
  *   Avoid queues
  *   Plan your visit, what to do, when
  *   Plan meals and drinks in and out of the park

Task id: 8
solar power home                 [I'm planning to install solar power at home.]

  *   How to choose system/things to consider when choosing a system
  *   Advantages and disadvantages of solar power for home
  *   Solar power home systems
  *   How to install system
  *   Investigate incentives
  *   Connect your inverter or micro inverters
  *   Install a disconnect
  *   Install extra power meters
  *   Get a charge controller
  *   Connect batteries
  *   Contact a professional service



Task id: 9
build a fence              [I am thinking about building some kind of fence for some purpose]
  *   determine purpose of fence
  *   select material
  *   prepare the area to be fenced
  *   purchase materials
  *   install posts/pickets
  *   stain and paint wood
  *   install gate
  *   hire a contractor

Task id: 10
get rid of moths        [I have moths somewhere in my home and I want to get rid of them]
  *   determine location of moths
  *   determine species of moth
  *   set glue traps
  *   lay out moth balls
  *   set moth pheromone traps
  *   natural moth repellants
  *   thoroughly clean infected areas

Task id: 11
improve cholesterol levels              [I think my cholesterol might be high and I want to improve it]
  *   get information about different cholesterol types
  *   determine what are good levels of different cholesterol types
  *   measure cholesterol levels
  *   diets to achieve cholesterol goals
  *   cholesterol content of certain foods
  *   exercising to reduce cholesterol

Task id: 12
